Pa?s de nacionalidad;Mes;Total
Resto de Asia;Noviembre;28
Resto de Asia;Diciembre;13
Resto de Asia;Total;217
RESTO DE PA?SES;Enero;1
RESTO DE PA?SES;Febrero;3
RESTO DE PA?SES;Marzo;3
RESTO DE PA?SES;Abril;..
RESTO DE PA?SES;Mayo;3
RESTO DE PA?SES;Junio;1
RESTO DE PA?SES;Julio;..
RESTO DE PA?SES;Agosto;..
RESTO DE PA?SES;Septiembre;2
RESTO DE PA?SES;Octubre;3
RESTO DE PA?SES;Noviembre;1
RESTO DE PA?SES;Diciembre;6
RESTO DE PA?SES;Total;23
